#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 08 23 15 00  MM   MM   MM    MM    MM    MM  MM 1014.0  27.3    MM    MM   MM +0.7    MM
2021 08 23 14 54  MM   MM   MM    MM    MM    MM  MM 1013.4  26.7    MM    MM   MM   MM    MM
2021 08 23 14 48  MM   MM   MM    MM    MM    MM  MM 1013.5  26.7    MM    MM   MM   MM    MM
2021 08 23 14 42  MM   MM   MM    MM    MM    MM  MM 1013.6  26.4    MM    MM   MM   MM    MM
2021 08 23 14 36  MM   MM   MM    MM    MM    MM  MM 1013.5  26.1    MM    MM   MM   MM    MM
2021 08 23 14 30  MM   MM   MM    MM    MM    MM  MM 1013.5  25.9    MM    MM   MM   MM    MM
2021 08 23 14 24  MM   MM   MM    MM    MM    MM  MM 1013.5  25.8    MM    MM   MM   MM    MM
2021 08 23 14 18  MM   MM   MM    MM    MM    MM  MM 1013.4  25.5    MM    MM   MM   MM    MM
2021 08 23 14 12  MM   MM   MM    MM    MM    MM  MM 1013.3  25.5    MM    MM   MM   MM    MM
2021 08 23 14 06  MM   MM   MM    MM    MM    MM  MM 1013.1  25.8    MM    MM   MM   MM    MM
2021 08 23 14 00  MM   MM   MM    MM    MM    MM  MM 1013.3  25.8    MM    MM   MM +0.4    MM
2021 08 23 13 54  MM   MM   MM    MM    MM    MM  MM 1013.3  25.3    MM    MM   MM   MM    MM
2021 08 23 13 48  MM   MM   MM    MM    MM    MM  MM 1013.4  25.1    MM    MM   MM   MM    MM
2021 08 23 13 42  MM   MM   MM    MM    MM    MM  MM 1013.3  24.8    MM    MM   MM   MM    MM
2021 08 23 13 36  MM   MM   MM    MM    MM    MM  MM 1013.4  24.6    MM    MM   MM   MM    MM
2021 08 23 13 30  MM   MM   MM    MM    MM    MM  MM 1013.4  24.6    MM    MM   MM   MM    MM
2021 08 23 13 24  MM   MM   MM    MM    MM    MM  MM 1013.5  23.9    MM    MM   MM   MM    MM
2021 08 23 13 18  MM   MM   MM    MM    MM    MM  MM 1013.5  23.7    MM    MM   MM   MM    MM
2021 08 23 13 12  MM   MM   MM    MM    MM    MM  MM 1013.6  23.3    MM    MM   MM   MM    MM
2021 08 23 13 06  MM   MM   MM    MM    MM    MM  MM 1013.4  23.1    MM    MM   MM   MM    MM
2021 08 23 13 00  MM   MM   MM    MM    MM    MM  MM 1013.4  22.8    MM    MM   MM +1.0    MM
2021 08 23 12 54  MM   MM   MM    MM    MM    MM  MM 1013.5  22.9    MM    MM   MM   MM    MM
2021 08 23 12 48  MM   MM   MM    MM    MM    MM  MM 1013.6  22.7    MM    MM   MM   MM    MM
2021 08 23 12 42  MM   MM   MM    MM    MM    MM  MM 1013.5  22.5    MM    MM   MM   MM    MM
2021 08 23 12 36  MM   MM   MM    MM    MM    MM  MM 1013.5  22.2    MM    MM   MM   MM    MM
2021 08 23 12 30  MM   MM   MM    MM    MM    MM  MM 1013.5  22.0    MM    MM   MM   MM    MM
2021 08 23 12 24  MM   MM   MM    MM    MM    MM  MM 1013.4  21.9    MM    MM   MM   MM    MM
2021 08 23 12 18  MM   MM   MM    MM    MM    MM  MM 1013.4  21.9    MM    MM   MM   MM    MM
2021 08 23 12 12  MM   MM   MM    MM    MM    MM  MM 1013.4  21.8    MM    MM   MM   MM    MM
2021 08 23 12 06  MM   MM   MM    MM    MM    MM  MM 1013.3  21.7    MM    MM   MM   MM    MM
2021 08 23 12 00  MM   MM   MM    MM    MM    MM  MM 1013.4  21.6    MM    MM   MM +1.2    MM
2021 08 23 11 54  MM   MM   MM    MM    MM    MM  MM 1013.3  21.7    MM    MM   MM   MM    MM
2021 08 23 11 48  MM   MM   MM    MM    MM    MM  MM 1013.2  21.6    MM    MM   MM   MM    MM
2021 08 23 11 42  MM   MM   MM    MM    MM    MM  MM 1013.2  21.7    MM    MM   MM   MM    MM
2021 08 23 11 36  MM   MM   MM    MM    MM    MM  MM 1013.1  21.8    MM    MM   MM   MM    MM
2021 08 23 11 30  MM   MM   MM    MM    MM    MM  MM 1013.1  21.6    MM    MM   MM   MM    MM
2021 08 23 11 24  MM   MM   MM    MM    MM    MM  MM 1013.2  21.6    MM    MM   MM   MM    MM
2021 08 23 11 18  MM   MM   MM    MM    MM    MM  MM 1013.1  21.6    MM    MM   MM   MM    MM
2021 08 23 11 06  MM   MM   MM    MM    MM    MM  MM 1013.0  21.5    MM    MM   MM   MM    MM
2021 08 23 11 00  MM   MM   MM    MM    MM    MM  MM 1012.9  21.5    MM    MM   MM   MM    MM
2021 08 23 10 54  MM   MM   MM    MM    MM    MM  MM 1012.9  21.5    MM    MM   MM   MM    MM
2021 08 23 10 42  MM   MM   MM    MM    MM    MM  MM 1012.7  21.4    MM    MM   MM   MM    MM
2021 08 23 10 36  MM   MM   MM    MM    MM    MM  MM 1012.6  21.3    MM    MM   MM   MM    MM
2021 08 23 10 30  MM   MM   MM    MM    MM    MM  MM 1012.6  21.3    MM    MM   MM   MM    MM
2021 08 23 10 24  MM   MM   MM    MM    MM    MM  MM 1012.5  21.2    MM    MM   MM   MM    MM
2021 08 23 10 18  MM   MM   MM    MM    MM    MM  MM 1012.5  21.2    MM    MM   MM   MM    MM
2021 08 23 10 12  MM   MM   MM    MM    MM    MM  MM 1012.5  21.2    MM    MM   MM   MM    MM
2021 08 23 10 06  MM   MM   MM    MM    MM    MM  MM 1012.5  21.1    MM    MM   MM   MM    MM
2021 08 23 10 00  MM   MM   MM    MM    MM    MM  MM 1012.4  21.0    MM    MM   MM +0.0    MM
2021 08 23 09 54  MM   MM   MM    MM    MM    MM  MM 1012.2  21.1    MM    MM   MM   MM    MM
2021 08 23 09 48  MM   MM   MM    MM    MM    MM  MM 1012.2  21.2    MM    MM   MM   MM    MM
2021 08 23 09 42  MM   MM   MM    MM    MM    MM  MM 1012.1  21.1    MM    MM   MM   MM    MM
2021 08 23 09 36  MM   MM   MM    MM    MM    MM  MM 1012.1  21.1    MM    MM   MM   MM    MM
2021 08 23 09 30  MM   MM   MM    MM    MM    MM  MM 1012.1  21.1    MM    MM   MM   MM    MM
2021 08 23 09 24  MM   MM   MM    MM    MM    MM  MM 1012.1  21.1    MM    MM   MM   MM    MM
2021 08 23 09 18  MM   MM   MM    MM    MM    MM  MM 1012.2  21.1    MM    MM   MM   MM    MM
2021 08 23 09 12  MM   MM   MM    MM    MM    MM  MM 1012.2  21.1    MM    MM   MM   MM    MM
2021 08 23 09 06  MM   MM   MM    MM    MM    MM  MM 1012.2  21.1    MM    MM   MM   MM    MM
2021 08 23 09 00  MM   MM   MM    MM    MM    MM  MM 1012.2  21.2    MM    MM   MM -0.6    MM
2021 08 23 08 54  MM   MM   MM    MM    MM    MM  MM 1012.3  21.2    MM    MM   MM   MM    MM
2021 08 23 08 48  MM   MM   MM    MM    MM    MM  MM 1012.3  21.2    MM    MM   MM   MM    MM
2021 08 23 08 42  MM   MM   MM    MM    MM    MM  MM 1012.3  21.3    MM    MM   MM   MM    MM
2021 08 23 08 36  MM   MM   MM    MM    MM    MM  MM 1012.5  21.3    MM    MM   MM   MM    MM
2021 08 23 08 30  MM   MM   MM    MM    MM    MM  MM 1012.5  21.3    MM    MM   MM   MM    MM
2021 08 23 08 24  MM   MM   MM    MM    MM    MM  MM 1012.5  21.3    MM    MM   MM   MM    MM
2021 08 23 08 18  MM   MM   MM    MM    MM    MM  MM 1012.6  21.3    MM    MM   MM   MM    MM
2021 08 23 07 42  MM   MM   MM    MM    MM    MM  MM 1012.5  21.9    MM    MM   MM   MM    MM
2021 08 23 07 30  MM   MM   MM    MM    MM    MM  MM 1012.4  22.0    MM    MM   MM   MM    MM
2021 08 23 07 24  MM   MM   MM    MM    MM    MM  MM 1012.4  22.0    MM    MM   MM   MM    MM
2021 08 23 07 12  MM   MM   MM    MM    MM    MM  MM 1012.3  22.4    MM    MM   MM   MM    MM
2021 08 23 07 00  MM   MM   MM    MM    MM    MM  MM 1012.3  22.7    MM    MM   MM -0.6    MM
2021 08 23 06 54  MM   MM   MM    MM    MM    MM  MM 1012.5  22.7    MM    MM   MM   MM    MM
2021 08 23 06 48  MM   MM   MM    MM    MM    MM  MM 1012.6  22.6    MM    MM   MM   MM    MM
2021 08 23 06 36  MM   MM   MM    MM    MM    MM  MM 1012.6  22.8    MM    MM   MM   MM    MM
2021 08 23 06 30  MM   MM   MM    MM    MM    MM  MM 1012.7  22.7    MM    MM   MM   MM    MM
2021 08 23 06 24  MM   MM   MM    MM    MM    MM  MM 1012.8  22.7    MM    MM   MM   MM    MM
2021 08 23 06 12  MM   MM   MM    MM    MM    MM  MM 1012.7  22.9    MM    MM   MM   MM    MM
2021 08 23 06 06  MM   MM   MM    MM    MM    MM  MM 1012.7  22.9    MM    MM   MM   MM    MM
2021 08 23 06 00  MM   MM   MM    MM    MM    MM  MM 1012.7  22.9    MM    MM   MM +0.4    MM
2021 08 23 05 54  MM   MM   MM    MM    MM    MM  MM 1012.7  22.8    MM    MM   MM   MM    MM
2021 08 23 05 42  MM   MM   MM    MM    MM    MM  MM 1013.0  22.7    MM    MM   MM   MM    MM
2021 08 23 05 36  MM   MM   MM    MM    MM    MM  MM 1013.1  22.6    MM    MM   MM   MM    MM
2021 08 23 05 30  MM   MM   MM    MM    MM    MM  MM 1013.1  22.4    MM    MM   MM   MM    MM
2021 08 23 05 24  MM   MM   MM    MM    MM    MM  MM 1013.1  22.2    MM    MM   MM   MM    MM
2021 08 23 05 18  MM   MM   MM    MM    MM    MM  MM 1013.1  22.3    MM    MM   MM   MM    MM
2021 08 23 05 12  MM   MM   MM    MM    MM    MM  MM 1013.0  22.3    MM    MM   MM   MM    MM
2021 08 23 05 06  MM   MM   MM    MM    MM    MM  MM 1013.1  22.3    MM    MM   MM   MM    MM
2021 08 23 05 00  MM   MM   MM    MM    MM    MM  MM 1013.1  22.4    MM    MM   MM +1.0    MM
2021 08 23 04 54  MM   MM   MM    MM    MM    MM  MM 1013.1  22.4    MM    MM   MM   MM    MM
2021 08 23 04 48  MM   MM   MM    MM    MM    MM  MM 1013.2  22.4    MM    MM   MM   MM    MM
2021 08 23 04 42  MM   MM   MM    MM    MM    MM  MM 1013.3  22.4    MM    MM   MM   MM    MM
2021 08 23 04 36  MM   MM   MM    MM    MM    MM  MM 1013.2  22.3    MM    MM   MM   MM    MM
2021 08 23 04 30  MM   MM   MM    MM    MM    MM  MM 1013.2  22.3    MM    MM   MM   MM    MM
2021 08 23 04 24  MM   MM   MM    MM    MM    MM  MM 1013.1  22.4    MM    MM   MM   MM    MM
2021 08 23 04 18  MM   MM   MM    MM    MM    MM  MM 1013.0  22.6    MM    MM   MM   MM    MM
2021 08 23 04 12  MM   MM   MM    MM    MM    MM  MM 1013.0  22.9    MM    MM   MM   MM    MM
2021 08 23 04 06  MM   MM   MM    MM    MM    MM  MM 1013.0  23.0    MM    MM   MM   MM    MM
2021 08 23 04 00  MM   MM   MM    MM    MM    MM  MM 1012.9  23.0    MM    MM   MM +0.7    MM
2021 08 23 03 54  MM   MM   MM    MM    MM    MM  MM 1012.8  23.1    MM    MM   MM   MM    MM
2021 08 23 03 48  MM   MM   MM    MM    MM    MM  MM 1012.7  23.0    MM    MM   MM   MM    MM
2021 08 23 03 42  MM   MM   MM    MM    MM    MM  MM 1012.6  23.0    MM    MM   MM   MM    MM
2021 08 23 03 36  MM   MM   MM    MM    MM    MM  MM 1012.7  23.0    MM    MM   MM   MM    MM
2021 08 23 03 24  MM   MM   MM    MM    MM    MM  MM 1012.5  23.0    MM    MM   MM   MM    MM
2021 08 23 03 18  MM   MM   MM    MM    MM    MM  MM 1012.5  22.9    MM    MM   MM   MM    MM
2021 08 23 03 06  MM   MM   MM    MM    MM    MM  MM 1012.4  22.7    MM    MM   MM   MM    MM
2021 08 23 03 00  MM   MM   MM    MM    MM    MM  MM 1012.3  22.7    MM    MM   MM -0.0    MM
2021 08 23 02 54  MM   MM   MM    MM    MM    MM  MM 1012.3  22.7    MM    MM   MM   MM    MM
2021 08 23 02 42  MM   MM   MM    MM    MM    MM  MM 1012.1  22.6    MM    MM   MM   MM    MM
2021 08 23 02 36  MM   MM   MM    MM    MM    MM  MM 1012.1  22.5    MM    MM   MM   MM    MM
2021 08 23 02 30  MM   MM   MM    MM    MM    MM  MM 1012.1  22.4    MM    MM   MM   MM    MM
2021 08 23 02 24  MM   MM   MM    MM    MM    MM  MM 1012.1  22.4    MM    MM   MM   MM    MM
2021 08 23 02 18  MM   MM   MM    MM    MM    MM  MM 1012.1  22.5    MM    MM   MM   MM    MM
2021 08 23 02 06  MM   MM   MM    MM    MM    MM  MM 1012.0  22.8    MM    MM   MM   MM    MM
2021 08 23 02 00  MM   MM   MM    MM    MM    MM  MM 1012.1  23.0    MM    MM   MM -0.6    MM
