#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 11 15 40 210  7.0  9.0   0.9     5    MM 266 1010.6  22.3  20.2    MM   MM   MM    MM
2021 09 11 15 30 210  8.0 11.0   0.9     5    MM 270 1010.6  22.2  20.2    MM   MM   MM    MM
2021 09 11 15 20 210  7.0 10.0   0.9     5    MM 275 1010.7  22.2  20.2    MM   MM   MM    MM
2021 09 11 15 10 210  6.0  9.0   0.8     5    MM 261 1010.9  22.0  20.2    MM   MM   MM    MM
2021 09 11 15 00 200  7.0  9.0   0.9     5    MM 272 1011.0  21.9  20.2    MM   MM -1.0    MM
2021 09 11 14 50 210  6.0 10.0   0.8     4    MM 267 1011.3  21.7  20.2    MM   MM   MM    MM
2021 09 11 14 40 200  6.0  9.0   0.8     5    MM 258 1011.4  21.5  20.2    MM   MM   MM    MM
2021 09 11 14 30 200  7.0  9.0   0.8     5    MM 255 1011.4  21.3  20.2    MM   MM   MM    MM
2021 09 11 14 20 200  7.0 11.0   0.8     5    MM 269 1011.3  21.2  20.2    MM   MM   MM    MM
2021 09 11 14 10 200  7.0 11.0   0.8     4    MM 268 1011.4  21.1  20.2    MM   MM   MM    MM
2021 09 11 14 00 200  7.0  9.0   0.8     5    MM 262 1011.5  20.8  20.2    MM   MM -0.8    MM
2021 09 11 13 50 200  7.0  9.0   0.8     4    MM 276 1011.7  20.7  20.2    MM   MM   MM    MM
2021 09 11 13 40 200  8.0 11.0   0.8     5    MM 262 1011.7  20.6  20.2    MM   MM   MM    MM
2021 09 11 13 30 200  9.0 11.0   0.7     4    MM 261 1011.6  20.5  20.2    MM   MM   MM    MM
2021 09 11 13 20 200  9.0 11.0   0.8     5    MM 273 1011.6  20.4  20.2    MM   MM   MM    MM
2021 09 11 13 10 200  9.0 11.0   0.7     4    MM 271 1011.7  20.3  20.2    MM   MM   MM    MM
2021 09 11 13 00 200  9.0 11.0   0.8     4    MM 262 1011.7  20.1  20.2    MM   MM -1.0    MM
2021 09 11 12 50 200  8.0 11.0   0.8     4    MM 265 1011.9  19.9  20.2    MM   MM   MM    MM
2021 09 11 12 40 200  8.0 11.0   0.7     4    MM 250 1012.0  19.8  20.3    MM   MM   MM    MM
2021 09 11 12 30 200  8.0 11.0   0.8     4    MM 262 1012.1  19.7  20.3    MM   MM   MM    MM
2021 09 11 12 20 200  8.0 10.0   0.7     4    MM 257 1012.2  19.6  20.3    MM   MM   MM    MM
2021 09 11 12 10 200  9.0 11.0   0.7     4    MM 276 1012.1  19.6  20.3    MM   MM   MM    MM
2021 09 11 12 00 200  9.0 11.0   0.7     4    MM 260 1012.0  19.5  20.3    MM   MM -0.9    MM
2021 09 11 11 50 200  8.0 11.0   0.7     4    MM 266 1012.1  19.3  20.3    MM   MM   MM    MM
2021 09 11 11 40 200  8.0 11.0   0.7     4    MM 254 1012.1  19.2  20.3    MM   MM   MM    MM
2021 09 11 11 30 200  8.0 12.0   0.7     4    MM 253 1012.2  19.3  20.3    MM   MM   MM    MM
2021 09 11 11 20 200  8.0 11.0   0.7     4    MM 263 1012.2  19.3  20.3    MM   MM   MM    MM
2021 09 11 11 10 200  8.0 10.0   0.7     4    MM 254 1012.2  19.2  20.3    MM   MM   MM    MM
2021 09 11 11 00 200  8.0 10.0   0.7     4    MM 257 1012.3  19.2  20.3    MM   MM -1.0    MM
2021 09 11 10 50 200  7.0  9.0   0.6     4    MM 279 1012.4  19.0  20.3    MM   MM   MM    MM
2021 09 11 10 40 200  7.0  9.0   0.6     4    MM 264 1012.6  19.1  20.3    MM   MM   MM    MM
2021 09 11 10 30 200  7.0  9.0   0.6     4    MM 282 1012.6  18.9  20.3    MM   MM   MM    MM
2021 09 11 10 20 200  7.0  9.0   0.6     4    MM 265 1012.6  18.9  20.3    MM   MM   MM    MM
2021 09 11 10 10 200  8.0 10.0   0.6     4    MM 276 1012.6  18.8  20.3    MM   MM   MM    MM
2021 09 11 10 00 200  8.0 10.0   0.6     4    MM 270 1012.7  18.9  20.3    MM   MM -1.4    MM
2021 09 11 09 50 200  8.0 10.0   0.6     4    MM 250 1012.8  19.0  20.3    MM   MM   MM    MM
2021 09 11 09 40 190  7.0  9.0   0.6     4    MM 262 1012.8  18.7  20.3    MM   MM   MM    MM
2021 09 11 09 30 180  7.0  8.0   0.6     3    MM 252 1012.7  18.1  20.3    MM   MM   MM    MM
2021 09 11 09 20 180  7.0  9.0   0.5     2    MM 252 1012.6  18.0  20.3    MM   MM   MM    MM
