#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 11 15 30 210  8.0 11.0   0.5     3    MM  MM     MM  22.6  20.0    MM   MM   MM    MM
2021 09 11 15 00 210  8.0 10.0   0.5     4    MM  MM     MM  22.1  20.0    MM   MM   MM    MM
2021 09 11 14 30 190  7.0  9.0   0.4     3    MM  MM     MM  21.5  20.0    MM   MM   MM    MM
2021 09 11 14 00 190  8.0 10.0   0.4     2    MM  MM     MM  21.0  20.0    MM   MM   MM    MM
2021 09 11 13 30 200  8.0 10.0   0.4     5    MM  MM     MM  20.7  20.0    MM   MM   MM    MM
2021 09 11 13 00 190  7.0  8.0   0.3     2    MM  MM     MM  20.4  20.0    MM   MM   MM    MM
2021 09 11 12 30 180  5.0  7.0   0.4     2    MM  MM     MM  19.6  20.0    MM   MM   MM    MM
2021 09 11 12 00 190  7.0  9.0   0.3     2    MM  MM     MM  19.9  20.0    MM   MM   MM    MM
2021 09 11 11 30 180  8.0 11.0   0.3     3    MM  MM     MM  19.8  20.0    MM   MM   MM    MM
2021 09 11 11 00 180  7.0  8.0   0.3     2    MM  MM     MM  19.7  20.1    MM   MM   MM    MM
2021 09 11 10 30 190  6.0  7.0   0.3     2    MM  MM     MM  19.2  20.1    MM   MM   MM    MM
2021 09 11 10 00 180  6.0  8.0   0.3     2    MM  MM     MM  19.1  20.0    MM   MM   MM    MM
2021 09 11 09 30 170  6.0  8.0   0.3     2    MM  MM     MM  18.9  20.0    MM   MM   MM    MM
2021 09 11 09 00 180  7.0  8.0   0.3     2    MM  MM     MM  18.8  20.0    MM   MM   MM    MM
2021 09 11 08 30 180  7.0  9.0   0.3     2    MM  MM     MM  19.3  20.0    MM   MM   MM    MM
2021 09 11 08 00 190  8.0 11.0   0.3     2    MM  MM     MM  19.7  20.1    MM   MM   MM    MM
2021 09 11 07 30 190  7.0  9.0   0.3     5    MM  MM     MM  19.6  20.1    MM   MM   MM    MM
