#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,41038
2021,09,11,14,08,40,5.0,6.0,MM,MM,MM,MM,1024.2,24.0,26.1,MM,MM,MM,MM,41038
2021,09,11,13,08,40,5.0,7.0,MM,MM,MM,MM,1023.6,23.6,26.2,MM,MM,MM,MM,41038
2021,09,11,12,08,40,4.0,6.0,MM,MM,MM,MM,1023.3,24.3,26.2,MM,MM,MM,MM,41038
2021,09,11,11,08,60,2.0,4.0,MM,MM,MM,MM,1022.7,24.3,26.2,MM,MM,MM,MM,41038
2021,09,11,10,08,50,3.0,5.0,MM,MM,MM,MM,1022.0,24.4,26.2,MM,MM,MM,MM,41038
2021,09,11,09,08,70,4.0,5.0,MM,MM,MM,MM,1021.2,24.5,26.2,MM,MM,MM,MM,41038
2021,09,11,08,08,70,4.0,6.0,MM,MM,MM,MM,1021.3,24.5,26.2,MM,MM,MM,MM,41038
2021,09,11,07,08,80,5.0,7.0,MM,MM,MM,MM,1021.1,24.6,26.3,MM,MM,MM,MM,41038
2021,09,11,06,08,80,5.0,7.0,MM,MM,MM,MM,1021.2,24.7,26.3,MM,MM,MM,MM,41038
2021,09,11,05,08,80,5.0,9.0,MM,MM,MM,MM,1021.1,24.7,26.3,MM,MM,MM,MM,41038
2021,09,11,04,08,60,6.0,8.0,MM,MM,MM,MM,1020.4,24.7,26.4,MM,MM,MM,MM,41038
2021,09,11,03,08,50,5.0,7.0,MM,MM,MM,MM,1019.8,25.1,26.4,MM,MM,MM,MM,41038
2021,09,11,02,08,30,4.0,6.0,MM,MM,MM,MM,1019.5,25.3,26.4,MM,MM,MM,MM,41038
2021,09,11,01,08,30,5.0,7.0,MM,MM,MM,MM,1019.0,25.4,26.4,MM,MM,MM,MM,41038
2021,09,11,00,08,20,5.0,7.0,MM,MM,MM,MM,1017.8,25.6,26.5,MM,MM,MM,MM,41038
2021,09,10,23,08,10,4.0,6.0,MM,MM,MM,MM,1017.3,26.0,26.5,MM,MM,MM,MM,41038
2021,09,10,22,08,20,3.0,6.0,MM,MM,MM,MM,1017.4,25.5,26.7,MM,MM,MM,MM,41038
2021,09,10,21,08,30,2.0,4.0,MM,MM,MM,MM,1016.7,25.1,26.7,MM,MM,MM,MM,41038
2021,09,10,20,08,90,2.0,4.0,MM,MM,MM,MM,1016.7,24.7,26.6,MM,MM,MM,MM,41038
2021,09,10,19,08,120,2.0,4.0,MM,MM,MM,MM,1016.9,24.5,26.6,MM,MM,MM,MM,41038
