#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,44037
2021,09,11,14,04,260,7.0,9.0,1.0,5,MM,MM,1019.2,16.5,MM,MM,1.6,MM,MM,44037
2021,09,11,13,04,270,6.0,9.0,1.0,5,MM,MM,1018.7,16.6,MM,MM,1.6,MM,MM,44037
2021,09,11,12,04,290,7.0,9.0,MM,MM,MM,MM,1017.8,16.5,MM,MM,1.6,MM,MM,44037
2021,09,11,11,04,290,6.0,9.0,MM,MM,MM,MM,1017.2,16.4,MM,MM,1.6,MM,MM,44037
2021,09,11,10,04,290,6.0,9.0,MM,MM,MM,MM,1016.7,16.4,MM,MM,1.6,MM,MM,44037
2021,09,11,09,04,280,7.0,10.0,MM,MM,MM,MM,1015.8,16.5,MM,MM,1.6,MM,MM,44037
2021,09,11,08,04,280,7.0,10.0,MM,MM,MM,MM,1014.6,16.6,MM,MM,1.6,MM,MM,44037
2021,09,11,07,04,290,8.0,11.0,MM,MM,MM,MM,1013.7,16.7,MM,MM,1.6,MM,MM,44037
2021,09,11,06,04,290,8.0,11.0,MM,MM,MM,MM,1013.1,16.6,MM,MM,1.6,MM,MM,44037
2021,09,11,05,04,300,9.0,12.0,MM,MM,MM,MM,1012.3,16.9,MM,MM,1.6,MM,MM,44037
2021,09,11,04,04,300,9.0,13.0,MM,MM,MM,MM,1011.7,16.9,MM,MM,1.6,MM,MM,44037
2021,09,11,03,04,300,6.0,8.0,MM,MM,MM,MM,1011.1,17.1,MM,MM,1.6,MM,MM,44037
2021,09,11,02,04,300,7.0,9.0,MM,MM,MM,MM,1010.2,17.7,MM,MM,1.6,MM,MM,44037
2021,09,11,01,04,300,7.0,10.0,3.9,16,MM,MM,1009.3,17.8,MM,MM,1.6,MM,MM,44037
2021,09,11,00,04,280,6.0,8.0,4.0,16,MM,MM,1008.3,17.3,MM,MM,1.6,MM,MM,44037
2021,09,10,23,04,280,9.0,12.0,4.5,16,MM,MM,1007.3,17.4,MM,MM,1.6,MM,MM,44037
2021,09,10,22,04,260,6.0,9.0,4.9,16,MM,MM,1006.6,17.2,MM,MM,1.6,MM,MM,44037
2021,09,10,21,04,280,4.0,6.0,4.4,16,MM,MM,1005.8,17.2,MM,MM,1.6,MM,MM,44037
2021,09,10,20,04,310,4.0,8.0,4.8,16,MM,MM,1005.1,17.0,MM,MM,1.6,MM,MM,44037
2021,09,10,19,04,330,6.0,8.0,4.6,16,MM,MM,1004.7,16.9,MM,MM,1.6,MM,MM,44037
2021,09,10,18,04,320,7.0,12.0,4.8,16,MM,MM,1004.7,16.3,MM,MM,1.6,MM,MM,44037
2021,09,10,17,04,340,6.0,9.0,MM,MM,MM,MM,1004.4,16.5,MM,MM,1.6,MM,MM,44037
2021,09,10,16,04,340,6.0,8.0,MM,MM,MM,MM,1004.0,16.6,MM,MM,1.6,MM,MM,44037
2021,09,10,15,04,300,6.0,9.0,3.4,16,MM,MM,1004.5,16.4,MM,MM,1.6,MM,MM,44037
2021,09,10,14,04,240,3.0,4.0,3.6,16,MM,MM,1004.7,17.3,MM,MM,1.6,MM,MM,44037
2021,09,10,13,04,130,3.0,4.0,2.9,16,MM,MM,1004.5,17.1,MM,MM,1.6,MM,MM,44037
2021,09,10,12,04,240,2.0,3.0,3.4,16,MM,MM,1005.3,17.2,MM,MM,1.6,MM,MM,44037
2021,09,10,11,04,270,4.0,6.0,3.3,16,MM,MM,1005.1,17.5,MM,MM,1.6,MM,MM,44037
2021,09,10,10,04,240,4.0,6.0,3.7,16,MM,MM,1004.2,17.1,MM,MM,1.6,MM,MM,44037
2021,09,10,09,04,260,4.0,6.0,3.8,16,MM,MM,1003.9,17.6,MM,MM,1.2,MM,MM,44037
2021,09,10,08,04,230,7.0,9.0,MM,MM,MM,MM,1003.1,17.9,MM,MM,1.6,MM,MM,44037
2021,09,10,07,04,180,11.0,14.0,MM,MM,MM,MM,1001.7,19.1,MM,MM,1.6,MM,MM,44037
2021,09,10,06,04,150,6.0,8.0,MM,MM,MM,MM,1003.0,18.2,MM,MM,0.3,MM,MM,44037
2021,09,10,05,04,150,8.0,10.0,MM,MM,MM,MM,1004.4,18.2,MM,MM,0.3,MM,MM,44037
