#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,44039
2021,09,11,15,00,250,4.0,5.0,0.3,5,MM,MM,MM,20.3,22.6,MM,MM,MM,MM,44039
2021,09,11,14,00,260,3.0,5.0,0.2,MM,MM,MM,MM,19.5,22.5,MM,MM,MM,MM,44039
2021,09,11,13,00,290,4.0,5.0,0.2,MM,MM,MM,MM,19.4,22.4,MM,MM,MM,MM,44039
2021,09,11,12,00,290,4.0,6.0,0.3,3,MM,MM,MM,19.3,22.4,MM,MM,MM,MM,44039
2021,09,11,11,00,280,4.0,6.0,0.3,2,MM,MM,MM,18.7,22.3,MM,MM,MM,MM,44039
2021,09,11,10,00,300,4.0,5.0,0.3,3,MM,MM,MM,18.9,22.4,MM,MM,MM,MM,44039
2021,09,11,09,00,310,5.0,7.0,0.4,3,MM,MM,MM,19.0,22.4,MM,MM,MM,MM,44039
2021,09,11,08,00,310,5.0,7.0,0.4,3,MM,MM,MM,19.3,22.3,MM,MM,MM,MM,44039
2021,09,11,07,00,300,7.0,9.0,0.5,3,MM,MM,MM,19.5,22.3,MM,MM,MM,MM,44039
2021,09,11,06,00,300,6.0,8.0,0.4,3,MM,MM,MM,19.7,22.4,MM,MM,MM,MM,44039
2021,09,11,04,00,320,8.0,10.0,0.5,3,MM,MM,MM,20.1,22.5,MM,MM,MM,MM,44039
2021,09,11,03,00,320,8.0,11.0,0.5,4,MM,MM,MM,20.5,22.5,MM,MM,MM,MM,44039
2021,09,11,02,00,310,11.0,14.0,0.6,MM,MM,MM,MM,21.2,22.5,MM,MM,MM,MM,44039
2021,09,11,01,00,310,8.0,11.0,0.6,3,MM,MM,MM,21.4,22.6,MM,MM,MM,MM,44039
2021,09,11,00,00,310,10.0,14.0,0.7,4,MM,MM,MM,21.9,22.6,MM,MM,MM,MM,44039
2021,09,10,23,00,300,10.0,15.0,0.8,3,MM,MM,MM,22.4,22.6,MM,MM,MM,MM,44039
2021,09,10,22,00,290,11.0,14.0,0.9,4,MM,MM,MM,22.7,22.6,MM,MM,MM,MM,44039
2021,09,10,21,00,300,9.0,12.0,0.8,4,MM,MM,MM,22.5,22.5,MM,MM,MM,MM,44039
2021,09,10,20,00,300,10.0,13.0,0.8,3,MM,MM,MM,22.3,22.5,MM,MM,MM,MM,44039
2021,09,10,19,00,290,9.0,12.0,0.7,4,MM,MM,MM,22.1,22.5,MM,MM,MM,MM,44039
2021,09,10,18,00,300,9.0,11.0,0.7,4,MM,MM,MM,21.7,22.5,MM,MM,MM,MM,44039
2021,09,10,17,00,310,8.0,10.0,0.7,4,MM,MM,MM,21.3,22.5,MM,MM,MM,MM,44039
2021,09,10,16,00,310,8.0,10.0,0.6,4,MM,MM,MM,20.9,22.6,MM,MM,MM,MM,44039
2021,09,10,15,00,320,8.0,11.0,0.6,3,MM,MM,MM,20.8,22.6,MM,MM,MM,MM,44039
2021,09,10,14,00,310,9.0,12.0,0.6,3,MM,MM,MM,20.3,22.6,MM,MM,MM,MM,44039
2021,09,10,13,00,310,9.0,12.0,0.5,3,MM,MM,MM,19.9,22.6,MM,MM,MM,MM,44039
2021,09,10,12,00,310,8.0,11.0,0.6,3,MM,MM,MM,19.5,22.6,MM,MM,MM,MM,44039
2021,09,10,11,00,320,9.0,11.0,0.6,3,MM,MM,MM,19.5,22.6,MM,MM,MM,MM,44039
2021,09,10,10,00,310,9.0,12.0,0.5,3,MM,MM,MM,19.9,22.6,MM,MM,MM,MM,44039
2021,09,10,09,00,310,8.0,10.0,0.4,2,MM,MM,MM,20.5,22.6,MM,MM,MM,MM,44039
2021,09,10,08,00,310,6.0,8.0,0.4,3,MM,MM,MM,20.7,22.5,MM,MM,MM,MM,44039
2021,09,10,07,00,310,6.0,8.0,0.4,3,MM,MM,MM,21.0,22.5,MM,MM,MM,MM,44039
2021,09,10,06,00,310,6.0,7.0,0.3,2,MM,MM,MM,21.2,22.6,MM,MM,MM,MM,44039
2021,09,10,05,00,320,5.0,7.0,0.2,MM,MM,MM,MM,21.5,22.6,MM,MM,MM,MM,44039
2021,09,10,04,00,320,4.0,5.0,0.1,MM,MM,MM,MM,21.6,22.7,MM,MM,MM,MM,44039
2021,09,10,03,00,270,3.0,4.0,0.1,MM,MM,MM,MM,21.4,22.8,MM,MM,MM,MM,44039
2021,09,10,02,00,340,1.0,2.0,0.1,MM,MM,MM,MM,20.8,22.8,MM,MM,MM,MM,44039
2021,09,10,01,00,280,5.0,6.0,0.1,MM,MM,MM,MM,21.1,22.9,MM,MM,MM,MM,44039
2021,09,10,00,00,280,3.0,4.0,0.1,MM,MM,MM,MM,21.0,22.9,MM,MM,MM,MM,44039
2021,09,09,23,00,MM,0.0,1.0,0.1,MM,MM,MM,MM,20.9,22.9,MM,MM,MM,MM,44039
2021,09,09,22,00,240,2.0,3.0,0.1,MM,MM,MM,MM,21.2,22.9,MM,MM,MM,MM,44039
2021,09,09,21,00,220,2.0,2.0,0.1,MM,MM,MM,MM,21.6,22.9,MM,MM,MM,MM,44039
2021,09,09,20,00,220,3.0,4.0,0.2,MM,MM,MM,MM,21.9,22.8,MM,MM,MM,MM,44039
2021,09,09,19,00,270,3.0,4.0,0.2,MM,MM,MM,MM,21.7,22.8,MM,MM,MM,MM,44039
2021,09,09,18,00,80,1.0,2.0,0.3,3,MM,MM,MM,21.6,22.6,MM,MM,MM,MM,44039
2021,09,09,17,00,230,1.0,2.0,0.2,MM,MM,MM,MM,22.2,22.7,MM,MM,MM,MM,44039
2021,09,09,16,00,210,3.0,4.0,0.2,MM,MM,MM,MM,22.4,22.8,MM,MM,MM,MM,44039
2021,09,09,15,00,210,4.0,6.0,0.2,MM,MM,MM,MM,22.6,22.8,MM,MM,MM,MM,44039
2021,09,09,14,00,230,3.0,4.0,0.3,3,MM,MM,MM,22.6,22.8,MM,MM,MM,MM,44039
2021,09,09,13,00,220,5.0,7.0,0.4,3,MM,MM,MM,22.5,22.8,MM,MM,MM,MM,44039
2021,09,09,12,00,210,8.0,11.0,0.6,3,MM,MM,MM,22.4,22.8,MM,MM,MM,MM,44039
2021,09,09,11,00,180,8.0,11.0,0.6,MM,MM,MM,MM,22.3,22.8,MM,MM,MM,MM,44039
2021,09,09,10,00,170,8.0,10.0,0.6,3,MM,MM,MM,22.7,22.8,MM,MM,MM,MM,44039
2021,09,09,09,00,180,8.0,11.0,0.7,3,MM,MM,MM,22.8,22.9,MM,MM,MM,MM,44039
2021,09,09,08,00,170,9.0,12.0,0.7,3,MM,MM,MM,23.3,22.8,MM,MM,MM,MM,44039
2021,09,09,07,00,170,8.0,11.0,0.7,3,MM,MM,MM,23.6,22.6,MM,MM,MM,MM,44039
2021,09,09,06,00,190,8.0,10.0,0.7,4,MM,MM,MM,23.7,22.6,MM,MM,MM,MM,44039
2021,09,09,05,00,190,10.0,13.0,0.8,4,MM,MM,MM,23.8,22.6,MM,MM,MM,MM,44039
2021,09,09,04,00,190,10.0,13.0,0.7,4,MM,MM,MM,23.7,22.6,MM,MM,MM,MM,44039
2021,09,09,03,00,200,10.0,13.0,0.9,4,MM,MM,MM,23.8,22.6,MM,MM,MM,MM,44039
2021,09,09,02,00,190,10.0,13.0,0.9,4,MM,MM,MM,23.9,22.8,MM,MM,MM,MM,44039
2021,09,09,01,00,180,10.0,13.0,0.8,4,MM,MM,MM,23.8,22.9,MM,MM,MM,MM,44039
2021,09,09,00,00,170,9.0,13.0,0.8,4,MM,MM,MM,23.8,23.0,MM,MM,MM,MM,44039
2021,09,08,23,00,170,9.0,11.0,0.9,4,MM,MM,MM,24.0,23.0,MM,MM,MM,MM,44039
2021,09,08,22,00,170,9.0,13.0,0.9,3,MM,MM,MM,24.3,22.9,MM,MM,MM,MM,44039
