#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,44073
2021,09,11,13,04,MM,5.0,6.0,MM,MM,MM,MM,MM,16.6,MM,MM,MM,MM,MM,44073
2021,09,11,12,04,MM,6.0,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,44073
2021,09,11,11,04,MM,6.0,7.0,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,44073
2021,09,11,10,04,MM,5.0,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,44073
2021,09,11,09,04,MM,5.0,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,44073
2021,09,11,08,04,260,4.0,5.0,MM,MM,MM,MM,MM,15.5,17.8,MM,MM,MM,MM,44073
2021,09,11,07,04,270,7.0,8.0,MM,MM,MM,MM,MM,15.7,MM,MM,MM,MM,MM,44073
2021,09,11,06,04,MM,7.0,9.0,MM,MM,MM,MM,MM,15.8,MM,MM,MM,MM,MM,44073
2021,09,11,05,04,MM,7.0,9.0,MM,MM,MM,MM,MM,16.1,MM,MM,MM,MM,MM,44073
2021,09,11,04,04,280,7.0,9.0,MM,MM,MM,MM,MM,16.8,18.3,MM,MM,MM,MM,44073
2021,09,11,03,04,MM,6.0,8.0,MM,MM,MM,MM,MM,16.9,MM,MM,MM,MM,MM,44073
2021,09,11,02,04,MM,7.0,9.0,MM,MM,MM,MM,MM,17.6,MM,MM,MM,MM,MM,44073
2021,09,11,01,04,MM,6.0,8.0,MM,MM,MM,MM,MM,17.9,MM,MM,MM,MM,MM,44073
2021,09,11,00,04,MM,7.0,9.0,MM,MM,MM,MM,MM,18.3,MM,MM,MM,MM,MM,44073
2021,09,10,23,04,300,8.0,10.0,MM,MM,MM,MM,MM,18.9,17.4,MM,MM,MM,MM,44073
