#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,45186
2021,09,11,15,40,MM,3.0,3.0,0.3,3,MM,119,MM,22.2,20.2,MM,MM,MM,MM,45186
2021,09,11,15,30,MM,3.0,5.0,0.3,3,MM,117,MM,22.2,20.2,MM,MM,MM,MM,45186
2021,09,11,15,20,MM,3.0,5.0,0.3,3,MM,131,MM,22.1,20.2,MM,MM,MM,MM,45186
2021,09,11,15,10,MM,3.0,5.0,0.3,3,MM,128,MM,21.9,20.2,MM,MM,MM,MM,45186
2021,09,11,15,00,MM,4.0,5.0,0.3,3,MM,137,MM,21.7,20.2,MM,MM,MM,MM,45186
2021,09,11,14,50,MM,4.0,5.0,0.3,4,MM,133,MM,21.5,20.1,MM,MM,MM,MM,45186
2021,09,11,14,40,MM,3.0,4.0,0.3,4,MM,129,MM,21.2,20.1,MM,MM,MM,MM,45186
2021,09,11,14,30,MM,3.0,5.0,0.3,4,MM,130,MM,21.0,20.1,MM,MM,MM,MM,45186
2021,09,11,14,20,MM,4.0,5.0,0.3,3,MM,121,MM,20.8,20.1,MM,MM,MM,MM,45186
2021,09,11,14,10,MM,4.0,5.0,0.3,4,MM,128,MM,20.6,20.1,MM,MM,MM,MM,45186
2021,09,11,14,00,MM,4.0,6.0,0.3,3,MM,138,MM,20.5,20.1,MM,MM,MM,MM,45186
2021,09,11,13,50,MM,4.0,6.0,0.3,3,MM,132,MM,20.4,20.1,MM,MM,MM,MM,45186
2021,09,11,13,40,MM,4.0,6.0,0.3,4,MM,139,MM,20.3,20.1,MM,MM,MM,MM,45186
2021,09,11,13,30,MM,5.0,7.0,0.3,3,MM,146,MM,20.1,20.1,MM,MM,MM,MM,45186
2021,09,11,13,20,MM,6.0,8.0,0.3,4,MM,145,MM,20.1,20.1,MM,MM,MM,MM,45186
2021,09,11,13,10,MM,5.0,7.0,0.4,4,MM,148,MM,20.0,20.1,MM,MM,MM,MM,45186
2021,09,11,13,00,MM,6.0,8.0,0.4,4,MM,145,MM,19.9,20.1,MM,MM,MM,MM,45186
2021,09,11,12,50,MM,5.0,7.0,0.4,3,MM,145,MM,19.9,20.1,MM,MM,MM,MM,45186
2021,09,11,12,40,MM,5.0,7.0,0.3,3,MM,141,MM,19.9,20.1,MM,MM,MM,MM,45186
2021,09,11,12,30,MM,5.0,6.0,0.3,4,MM,144,MM,19.8,20.2,MM,MM,MM,MM,45186
2021,09,11,12,20,MM,4.0,6.0,0.4,3,MM,145,MM,19.8,20.2,MM,MM,MM,MM,45186
2021,09,11,12,10,MM,5.0,6.0,0.3,3,MM,146,MM,19.7,20.2,MM,MM,MM,MM,45186
2021,09,11,12,00,MM,5.0,6.0,0.3,4,MM,146,MM,19.6,20.2,MM,MM,MM,MM,45186
2021,09,11,11,50,MM,4.0,5.0,0.3,4,MM,152,MM,19.6,20.2,MM,MM,MM,MM,45186
2021,09,11,11,40,MM,4.0,5.0,0.4,3,MM,152,MM,19.6,20.2,MM,MM,MM,MM,45186
2021,09,11,11,30,MM,4.0,6.0,0.3,3,MM,152,MM,19.6,20.2,MM,MM,MM,MM,45186
2021,09,11,11,20,MM,4.0,5.0,0.3,4,MM,154,MM,19.7,20.2,MM,MM,MM,MM,45186
2021,09,11,11,10,MM,4.0,5.0,0.3,4,MM,159,MM,19.7,20.2,MM,MM,MM,MM,45186
2021,09,11,11,00,MM,4.0,5.0,0.4,4,MM,156,MM,19.8,20.2,MM,MM,MM,MM,45186
2021,09,11,10,50,MM,4.0,6.0,0.4,4,MM,157,MM,19.8,20.2,MM,MM,MM,MM,45186
2021,09,11,10,40,MM,4.0,6.0,0.4,3,MM,157,MM,19.7,20.2,MM,MM,MM,MM,45186
2021,09,11,10,30,MM,4.0,5.0,0.4,3,MM,157,MM,19.7,20.2,MM,MM,MM,MM,45186
2021,09,11,10,20,MM,4.0,6.0,0.4,3,MM,157,MM,19.8,20.3,MM,MM,MM,MM,45186
2021,09,11,10,10,MM,4.0,5.0,0.4,3,MM,108,MM,19.9,MM,MM,MM,MM,MM,45186
2021,09,11,10,00,MM,4.0,6.0,0.4,3,MM,108,MM,20.1,20.3,MM,MM,MM,MM,45186
2021,09,11,09,50,MM,4.0,5.0,0.4,3,MM,198,MM,20.1,20.3,MM,MM,MM,MM,45186
2021,09,11,09,40,MM,4.0,5.0,0.3,3,MM,303,MM,20.1,20.3,MM,MM,MM,MM,45186
2021,09,11,09,30,MM,4.0,6.0,0.3,3,MM,177,MM,20.1,20.3,MM,MM,MM,MM,45186
