#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,45187
2021,09,11,15,40,240,2.0,2.0,0.4,4,MM,154,MM,22.5,20.3,MM,MM,MM,MM,45187
2021,09,11,15,30,250,2.0,3.0,0.4,4,MM,150,MM,22.1,20.3,MM,MM,MM,MM,45187
2021,09,11,15,20,250,3.0,4.0,0.4,4,MM,154,MM,22.0,20.2,MM,MM,MM,MM,45187
2021,09,11,15,10,270,3.0,5.0,0.4,4,MM,154,MM,21.9,20.2,MM,MM,MM,MM,45187
2021,09,11,15,00,260,3.0,5.0,0.4,4,MM,156,MM,21.7,20.2,MM,MM,MM,MM,45187
2021,09,11,14,50,260,3.0,5.0,0.4,4,MM,153,MM,21.6,20.2,MM,MM,MM,MM,45187
2021,09,11,14,40,240,4.0,5.0,0.4,4,MM,154,MM,21.5,20.2,MM,MM,MM,MM,45187
2021,09,11,14,30,250,2.0,3.0,0.4,4,MM,145,MM,21.4,20.2,MM,MM,MM,MM,45187
2021,09,11,14,20,230,2.0,3.0,0.4,4,MM,147,MM,21.1,20.2,MM,MM,MM,MM,45187
2021,09,11,14,10,210,2.0,3.0,0.4,4,MM,145,MM,20.8,20.2,MM,MM,MM,MM,45187
2021,09,11,14,00,220,3.0,3.0,0.4,4,MM,158,MM,20.6,20.2,MM,MM,MM,MM,45187
2021,09,11,13,50,210,3.0,4.0,0.4,4,MM,148,MM,20.4,20.2,MM,MM,MM,MM,45187
2021,09,11,13,40,230,3.0,4.0,0.4,4,MM,148,MM,20.2,20.2,MM,MM,MM,MM,45187
2021,09,11,13,30,220,3.0,5.0,0.4,4,MM,147,MM,20.1,20.2,MM,MM,MM,MM,45187
2021,09,11,13,20,220,4.0,5.0,0.4,4,MM,153,MM,20.0,20.2,MM,MM,MM,MM,45187
2021,09,11,13,10,220,4.0,5.0,0.4,4,MM,157,MM,19.9,20.2,MM,MM,MM,MM,45187
2021,09,11,13,00,220,3.0,5.0,0.4,4,MM,160,MM,19.8,20.2,MM,MM,MM,MM,45187
2021,09,11,12,50,220,3.0,4.0,0.5,4,MM,160,MM,19.7,20.2,MM,MM,MM,MM,45187
2021,09,11,12,40,210,4.0,5.0,0.5,4,MM,158,MM,19.6,20.2,MM,MM,MM,MM,45187
2021,09,11,12,30,210,3.0,4.0,0.5,4,MM,161,MM,19.5,20.2,MM,MM,MM,MM,45187
2021,09,11,12,20,210,3.0,4.0,0.4,4,MM,164,MM,19.4,20.2,MM,MM,MM,MM,45187
2021,09,11,12,10,220,3.0,4.0,0.4,4,MM,160,MM,19.4,20.2,MM,MM,MM,MM,45187
2021,09,11,12,00,210,3.0,4.0,0.5,4,MM,161,MM,19.4,20.2,MM,MM,MM,MM,45187
2021,09,11,11,50,210,3.0,4.0,0.4,4,MM,168,MM,19.2,20.2,MM,MM,MM,MM,45187
2021,09,11,11,40,220,3.0,4.0,0.4,4,MM,164,MM,19.1,20.2,MM,MM,MM,MM,45187
2021,09,11,11,30,220,2.0,4.0,0.4,4,MM,160,MM,19.1,20.3,MM,MM,MM,MM,45187
