#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,44024
2021,09,11,14,04,300,6.0,8.0,1.2,5,MM,MM,1018.9,18.1,19.3,MM,1.6,MM,MM,44024
2021,09,11,13,04,300,6.0,10.0,2.0,11,MM,MM,1018.1,18.0,19.5,MM,1.6,MM,MM,44024
2021,09,11,12,04,300,8.0,10.0,1.2,5,MM,MM,1017.5,18.1,19.7,MM,1.6,MM,MM,44024
2021,09,11,11,04,300,9.0,10.0,1.2,5,MM,MM,1016.8,18.1,19.4,MM,1.6,MM,MM,44024
2021,09,11,10,04,310,9.0,10.0,1.3,5,MM,MM,1015.8,17.8,18.6,MM,1.6,MM,MM,44024
2021,09,11,09,04,300,9.0,12.0,1.2,4,MM,MM,1014.8,18.0,19.1,MM,1.6,MM,MM,44024
2021,09,11,08,04,300,9.0,11.0,1.3,5,MM,MM,1014.0,18.3,19.7,MM,1.6,MM,MM,44024
2021,09,11,07,04,310,8.0,11.0,1.4,5,MM,MM,1013.2,18.4,19.9,MM,1.6,MM,MM,44024
2021,09,11,06,04,320,9.0,12.0,1.1,5,MM,MM,1012.2,18.7,19.9,MM,1.6,MM,MM,44024
2021,09,11,05,04,290,8.0,10.0,MM,MM,MM,MM,1011.5,19.1,19.9,MM,1.6,MM,MM,44024
2021,09,11,04,04,290,7.0,9.0,3.0,16,MM,MM,1010.8,19.2,19.1,MM,1.6,MM,MM,44024
2021,09,11,03,04,270,8.0,11.0,3.2,16,MM,MM,1009.8,19.0,19.5,MM,1.6,MM,MM,44024
2021,09,11,02,04,280,7.0,9.0,4.5,16,MM,MM,1009.3,18.9,19.7,MM,1.6,MM,MM,44024
2021,09,11,01,04,290,7.0,11.0,MM,MM,MM,MM,1008.6,18.4,19.8,MM,1.6,MM,MM,44024
2021,09,11,00,04,310,8.0,12.0,5.0,16,MM,MM,1007.5,18.2,19.9,MM,1.6,MM,MM,44024
2021,09,10,23,04,290,12.0,15.0,MM,MM,MM,MM,1006.0,18.3,20.0,MM,1.6,MM,MM,44024
2021,09,10,22,04,280,10.0,14.0,5.1,16,MM,MM,1004.6,18.5,19.4,MM,1.6,MM,MM,44024
2021,09,10,21,04,250,7.0,11.0,4.9,16,MM,MM,1003.7,19.4,19.3,MM,1.6,MM,MM,44024
2021,09,10,20,04,270,6.0,9.0,4.2,16,MM,MM,1003.2,19.6,19.7,MM,1.6,MM,MM,44024
2021,09,10,19,04,290,7.0,9.0,4.7,16,MM,MM,1002.8,20.1,19.9,MM,1.6,MM,MM,44024
2021,09,10,18,04,310,6.0,9.0,4.3,16,MM,MM,1002.8,19.6,19.9,MM,1.6,MM,MM,44024
2021,09,10,17,04,340,4.0,8.0,4.4,16,MM,MM,1002.7,19.1,19.4,MM,1.6,MM,MM,44024
2021,09,10,16,04,340,6.0,9.0,3.6,16,MM,MM,1003.1,18.7,19.4,MM,1.6,MM,MM,44024
2021,09,10,15,04,340,6.0,10.0,4.0,16,MM,MM,1003.1,18.6,20.0,MM,1.6,MM,MM,44024
2021,09,10,14,04,330,6.0,9.0,MM,MM,MM,MM,1003.2,19.4,20.4,MM,1.6,MM,MM,44024
2021,09,10,13,04,300,5.0,9.0,4.5,16,MM,MM,1003.7,20.0,20.5,MM,1.6,MM,MM,44024
2021,09,10,12,04,270,6.0,9.0,4.9,16,MM,MM,1003.9,20.5,20.5,MM,1.6,MM,MM,44024
2021,09,10,11,04,160,4.0,6.0,4.4,16,MM,MM,1003.9,21.5,20.4,MM,1.6,MM,MM,44024
2021,09,10,10,04,160,5.0,8.0,3.6,16,MM,MM,1004.4,20.9,20.1,MM,1.6,MM,MM,44024
2021,09,10,09,04,170,6.0,8.0,3.5,16,MM,MM,1004.6,20.9,19.3,MM,1.6,MM,MM,44024
2021,09,10,08,04,160,7.0,10.0,4.3,16,MM,MM,1004.9,21.2,19.8,MM,1.6,MM,MM,44024
2021,09,10,07,04,170,6.0,8.0,3.6,16,MM,MM,1005.5,21.0,20.2,MM,1.6,MM,MM,44024
2021,09,10,06,04,180,8.0,10.0,4.6,16,MM,MM,1005.9,22.0,20.3,MM,1.6,MM,MM,44024
2021,09,10,05,04,160,6.0,7.0,3.7,16,MM,MM,1007.0,21.4,20.4,MM,1.6,MM,MM,44024
2021,09,10,04,04,160,6.0,7.0,3.1,16,MM,MM,1007.6,21.4,20.4,MM,1.6,MM,MM,44024
2021,09,10,03,04,170,5.0,6.0,3.5,16,MM,MM,1007.8,21.5,20.8,MM,1.6,MM,MM,44024
2021,09,10,02,04,180,5.0,6.0,3.7,16,MM,MM,1008.7,21.5,20.7,MM,1.6,MM,MM,44024
2021,09,10,01,04,160,5.0,7.0,3.7,16,MM,MM,1009.4,21.1,20.6,MM,1.6,MM,MM,44024
2021,09,10,00,04,150,5.0,6.0,3.6,16,MM,MM,1009.7,20.8,20.7,MM,1.6,MM,MM,44024
2021,09,09,23,04,200,3.0,4.0,1.1,6,MM,MM,1009.7,20.7,20.6,MM,1.6,MM,MM,44024
2021,09,09,22,04,170,4.0,5.0,2.6,16,MM,MM,1010.0,20.8,20.6,MM,1.6,MM,MM,44024
2021,09,09,21,04,160,3.0,5.0,2.3,16,MM,MM,1010.2,20.3,19.9,MM,1.6,MM,MM,44024
2021,09,09,20,04,190,4.0,5.0,2.2,16,MM,MM,1010.3,20.5,19.4,MM,1.6,MM,MM,44024
2021,09,09,19,04,180,5.0,6.0,2.0,16,MM,MM,1010.3,20.6,19.4,MM,1.6,MM,MM,44024
2021,09,09,18,04,170,4.0,5.0,2.6,16,MM,MM,1010.5,21.7,20.4,MM,1.6,MM,MM,44024
2021,09,09,17,04,140,2.0,4.0,2.6,16,MM,MM,1011.1,22.0,20.2,MM,1.6,MM,MM,44024
2021,09,09,16,04,130,4.0,5.0,2.2,16,MM,MM,1011.7,21.8,20.3,MM,1.6,MM,MM,44024
2021,09,09,15,04,140,4.0,5.0,2.9,16,MM,MM,1012.6,21.5,20.4,MM,1.6,MM,MM,44024
2021,09,09,14,04,140,5.0,6.0,3.2,16,MM,MM,1013.0,21.3,20.6,MM,1.6,MM,MM,44024
2021,09,09,13,04,150,7.0,8.0,MM,MM,MM,MM,1013.0,21.2,20.7,MM,1.6,MM,MM,44024
2021,09,09,12,04,150,6.0,7.0,MM,MM,MM,MM,1013.5,20.9,20.2,MM,1.6,MM,MM,44024
2021,09,09,11,04,130,4.0,5.0,3.4,16,MM,MM,1013.3,20.8,20.1,MM,1.6,MM,MM,44024
2021,09,09,10,04,110,5.0,7.0,2.7,16,MM,MM,1013.2,20.5,20.0,MM,1.6,MM,MM,44024
2021,09,09,09,04,80,4.0,5.0,2.3,16,MM,MM,1013.5,20.4,20.6,MM,1.6,MM,MM,44024
2021,09,09,08,04,80,2.0,3.0,2.2,16,MM,MM,1014.1,20.8,20.7,MM,1.6,MM,MM,44024
2021,09,09,07,04,50,2.0,2.0,2.2,16,MM,MM,1014.2,20.6,20.5,MM,1.6,MM,MM,44024
2021,09,09,06,04,90,1.0,2.0,1.9,16,MM,MM,1015.1,20.9,20.4,MM,1.6,MM,MM,44024
2021,09,09,05,04,130,2.0,2.0,2.1,16,MM,MM,1015.2,20.9,20.4,MM,1.6,MM,MM,44024
2021,09,09,04,04,160,3.0,4.0,1.8,16,MM,MM,1015.4,20.9,20.4,MM,1.6,MM,MM,44024
2021,09,09,03,04,160,3.0,5.0,2.0,16,MM,MM,1015.5,20.7,20.3,MM,1.6,MM,MM,44024
2021,09,09,02,04,170,4.0,5.0,2.4,16,MM,MM,1015.2,20.8,20.3,MM,1.6,MM,MM,44024
2021,09,09,01,04,180,4.0,5.0,MM,MM,MM,MM,1015.4,20.5,20.1,MM,1.6,MM,MM,44024
2021,09,09,00,04,180,5.0,6.0,MM,MM,MM,MM,1015.5,20.0,19.9,MM,1.6,MM,MM,44024
2021,09,08,23,04,190,4.0,5.0,MM,MM,MM,MM,1015.3,19.8,19.8,MM,1.6,MM,MM,44024
2021,09,08,22,04,200,5.0,7.0,MM,MM,MM,MM,1015.4,20.2,20.2,MM,1.6,MM,MM,44024
2021,09,08,21,04,200,7.0,8.0,2.5,16,MM,MM,1015.5,20.3,21.0,MM,1.6,MM,MM,44024
2021,09,08,20,04,190,6.0,7.0,2.1,16,MM,MM,1015.3,20.7,21.0,MM,1.6,MM,MM,44024
2021,09,08,19,04,170,6.0,7.0,2.3,16,MM,MM,1015.4,21.3,20.6,MM,1.6,MM,MM,44024
2021,09,08,18,04,150,5.0,7.0,2.5,16,MM,MM,1015.7,21.4,20.6,MM,1.6,MM,MM,44024
2021,09,08,17,04,150,5.0,6.0,1.9,16,MM,MM,1016.0,21.5,20.5,MM,1.6,MM,MM,44024
2021,09,08,16,04,150,5.0,6.0,1.7,16,MM,MM,1016.4,21.3,20.8,MM,1.6,MM,MM,44024
2021,09,08,15,04,150,4.0,5.0,MM,MM,MM,MM,1016.8,20.8,20.8,MM,1.6,MM,MM,44024
2021,09,08,14,04,160,4.0,5.0,1.9,16,MM,MM,1016.8,20.3,20.0,MM,1.6,MM,MM,44024
2021,09,08,13,04,170,4.0,5.0,0.6,6,MM,MM,1016.4,20.1,19.6,MM,1.6,MM,MM,44024
2021,09,08,12,04,180,5.0,6.0,0.7,6,MM,MM,1016.8,19.4,19.1,MM,1.4,MM,MM,44024
2021,09,08,11,04,200,4.0,6.0,0.7,6,MM,MM,1016.9,19.0,19.0,MM,1.6,MM,MM,44024
2021,09,08,10,04,210,4.0,6.0,0.7,6,MM,MM,1016.4,18.8,19.0,MM,1.6,MM,MM,44024
2021,09,08,09,04,220,5.0,6.0,0.7,6,MM,MM,1016.2,18.8,19.1,MM,1.6,MM,MM,44024
2021,09,08,08,04,210,5.0,6.0,0.7,6,MM,MM,1016.0,19.0,20.6,MM,1.6,MM,MM,44024
2021,09,08,07,04,240,4.0,5.0,0.9,6,MM,MM,1015.9,19.0,20.2,MM,1.6,MM,MM,44024
2021,09,08,06,04,220,5.0,8.0,0.9,5,MM,MM,1015.5,18.7,20.1,MM,1.6,MM,MM,44024
2021,09,08,05,04,220,4.0,6.0,0.9,6,MM,MM,1015.4,18.7,20.2,MM,1.6,MM,MM,44024
2021,09,08,04,04,230,4.0,6.0,0.8,6,MM,MM,1015.4,19.0,20.3,MM,1.6,MM,MM,44024
2021,09,08,03,04,250,4.0,6.0,0.9,6,MM,MM,1015.5,19.0,20.1,MM,1.6,MM,MM,44024
2021,09,08,02,04,250,5.0,6.0,1.0,6,MM,MM,1015.4,18.8,20.3,MM,1.6,MM,MM,44024
2021,09,08,01,04,250,5.0,6.0,0.9,8,MM,MM,1015.3,18.7,19.4,MM,1.6,MM,MM,44024
2021,09,08,00,04,240,6.0,7.0,0.9,8,MM,MM,1014.7,18.7,19.0,MM,1.6,MM,MM,44024
2021,09,07,23,04,250,5.0,6.0,0.9,8,MM,MM,1014.1,18.8,19.9,MM,1.6,MM,MM,44024
2021,09,07,22,04,240,4.0,6.0,0.5,3,MM,MM,1014.0,19.0,20.0,MM,1.6,MM,MM,44024
2021,09,07,21,04,250,6.0,7.0,1.0,8,MM,MM,1013.8,19.1,20.1,MM,1.6,MM,MM,44024
2021,09,07,20,04,250,5.0,7.0,1.1,6,MM,MM,1013.5,19.1,20.3,MM,1.6,MM,MM,44024
2021,09,07,19,04,260,6.0,8.0,1.0,6,MM,MM,1013.3,19.2,21.5,MM,1.6,MM,MM,44024
2021,09,07,18,04,260,5.0,8.0,1.1,6,MM,MM,1013.0,19.3,21.0,MM,1.6,MM,MM,44024
2021,09,07,17,04,250,6.0,8.0,1.2,6,MM,MM,1012.6,19.4,20.9,MM,1.6,MM,MM,44024
2021,09,07,16,04,270,6.0,8.0,1.1,6,MM,MM,1012.4,19.4,20.9,MM,1.6,MM,MM,44024
2021,09,07,15,04,270,6.0,7.0,1.2,6,MM,MM,1012.4,19.4,20.8,MM,1.6,MM,MM,44024
2021,09,07,14,04,280,6.0,7.0,1.2,8,MM,MM,1012.4,19.2,20.7,MM,1.6,MM,MM,44024
2021,09,07,13,04,280,5.0,6.0,1.3,8,MM,MM,1011.7,19.2,19.4,MM,1.6,MM,MM,44024
2021,09,07,12,04,280,5.0,6.0,1.4,8,MM,MM,1011.3,19.1,19.6,MM,1.6,MM,MM,44024
2021,09,07,11,04,280,5.0,8.0,1.4,8,MM,MM,1010.6,19.3,19.7,MM,1.6,MM,MM,44024
2021,09,07,10,04,280,5.0,7.0,1.5,8,MM,MM,1010.2,19.2,19.5,MM,1.6,MM,MM,44024
2021,09,07,09,04,270,5.0,7.0,1.5,8,MM,MM,1009.3,18.7,19.6,MM,1.6,MM,MM,44024
2021,09,07,08,04,270,4.0,6.0,1.4,8,MM,MM,1008.8,18.1,19.6,MM,1.6,MM,MM,44024
2021,09,07,07,04,270,6.0,8.0,1.3,8,MM,MM,1008.4,17.9,19.9,MM,1.6,MM,MM,44024
2021,09,07,06,04,260,6.0,9.0,1.4,6,MM,MM,1008.3,18.5,20.4,MM,1.6,MM,MM,44024
2021,09,07,05,04,260,8.0,10.0,1.3,6,MM,MM,1007.9,18.6,20.6,MM,1.6,MM,MM,44024
2021,09,07,04,04,250,8.0,11.0,1.5,6,MM,MM,1007.7,19.0,20.6,MM,1.6,MM,MM,44024
2021,09,07,03,04,230,7.0,9.0,1.4,6,MM,MM,1007.5,19.5,20.4,MM,1.6,MM,MM,44024
2021,09,07,02,04,230,7.0,9.0,1.3,6,MM,MM,1007.2,19.6,20.2,MM,1.6,MM,MM,44024
2021,09,07,01,04,230,6.0,7.0,1.4,6,MM,MM,1007.0,19.5,19.8,MM,1.6,MM,MM,44024
2021,09,07,00,04,210,7.0,9.0,1.3,6,MM,MM,1007.1,19.2,19.4,MM,1.6,MM,MM,44024
2021,09,06,23,04,200,7.0,8.0,1.4,6,MM,MM,1006.8,19.2,19.1,MM,1.6,MM,MM,44024
2021,09,06,22,04,200,6.0,8.0,1.5,6,MM,MM,1007.1,19.1,18.7,MM,1.6,MM,MM,44024
2021,09,06,21,04,200,7.0,9.0,1.4,6,MM,MM,1007.3,19.3,18.7,MM,1.6,MM,MM,44024
2021,09,06,20,04,190,7.0,9.0,1.3,6,MM,MM,1007.6,19.5,18.7,MM,1.6,MM,MM,44024
2021,09,06,19,04,180,6.0,9.0,1.1,6,MM,MM,1007.8,19.5,18.9,MM,1.6,MM,MM,44024
2021,09,06,18,04,210,8.0,11.0,1.1,5,MM,MM,1009.0,19.7,19.2,MM,1.6,MM,MM,44024
2021,09,06,17,04,190,7.0,9.0,1.2,5,MM,MM,1009.4,20.7,19.9,MM,1.6,MM,MM,44024
2021,09,06,16,04,190,8.0,11.0,1.2,5,MM,MM,1009.3,20.8,20.6,MM,1.6,MM,MM,44024
2021,09,06,15,04,190,9.0,12.0,1.2,5,MM,MM,1010.0,20.2,20.4,MM,1.6,MM,MM,44024
2021,09,06,14,04,200,8.0,10.0,1.1,5,MM,MM,1010.6,20.1,20.4,MM,1.6,MM,MM,44024
