#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,41052
2021,09,11,15,00,60,7.0,9.0,1.3,6,MM,97,1017.0,29.6,29.4,MM,MM,+1.3,MM,41052
2021,09,11,14,50,50,7.0,9.0,MM,MM,MM,MM,1016.9,29.6,MM,MM,MM,MM,MM,41052
2021,09,11,14,40,60,8.0,10.0,MM,MM,MM,MM,1016.9,29.6,MM,MM,MM,MM,MM,41052
2021,09,11,14,30,60,8.0,10.0,MM,MM,MM,MM,1016.8,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,14,20,70,8.0,9.0,MM,MM,MM,MM,1016.9,30.0,MM,MM,MM,MM,MM,41052
2021,09,11,14,10,70,8.0,9.0,1.1,MM,MM,93,1016.8,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,14,00,70,8.0,10.0,1.1,6,MM,93,1016.8,29.8,29.4,MM,MM,+1.7,MM,41052
2021,09,11,13,50,70,7.0,9.0,MM,MM,MM,MM,1016.8,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,13,40,60,6.0,8.0,MM,MM,MM,MM,1016.8,29.5,MM,MM,MM,MM,MM,41052
2021,09,11,13,30,50,6.0,7.0,MM,MM,MM,MM,1016.7,29.3,MM,MM,MM,MM,MM,41052
2021,09,11,13,20,50,6.0,6.0,MM,MM,MM,MM,1016.8,29.0,MM,MM,MM,MM,MM,41052
2021,09,11,13,10,50,6.0,7.0,1.1,MM,MM,88,1016.6,28.7,MM,MM,MM,MM,MM,41052
2021,09,11,13,00,50,6.0,8.0,1.1,5,MM,88,1016.5,28.1,29.4,MM,MM,+1.9,MM,41052
2021,09,11,12,50,60,7.0,9.0,MM,MM,MM,MM,1016.4,28.1,MM,MM,MM,MM,MM,41052
2021,09,11,12,40,70,9.0,14.0,MM,MM,MM,MM,1016.3,27.4,MM,MM,MM,MM,MM,41052
2021,09,11,12,30,80,9.0,12.0,MM,MM,MM,MM,1016.0,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,12,20,80,8.0,9.0,MM,MM,MM,MM,1015.9,30.0,MM,MM,MM,MM,MM,41052
2021,09,11,12,10,70,7.0,9.0,1.0,MM,MM,95,1015.7,30.0,MM,MM,MM,MM,MM,41052
2021,09,11,12,00,70,7.0,8.0,1.0,6,MM,95,1015.7,30.0,29.4,MM,MM,+1.2,MM,41052
2021,09,11,11,50,80,7.0,9.0,MM,MM,MM,MM,1015.6,30.0,MM,MM,MM,MM,MM,41052
2021,09,11,11,40,80,7.0,9.0,MM,MM,MM,MM,1015.4,30.0,MM,MM,MM,MM,MM,41052
2021,09,11,11,30,70,7.0,8.0,MM,MM,MM,MM,1015.3,30.0,MM,MM,MM,MM,MM,41052
2021,09,11,11,20,80,7.0,9.0,MM,MM,MM,MM,1015.2,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,11,10,70,8.0,9.0,1.0,MM,MM,91,1015.1,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,11,00,70,8.0,9.0,1.0,6,MM,91,1015.1,29.9,29.4,MM,MM,+0.9,MM,41052
2021,09,11,10,50,70,8.0,9.0,MM,MM,MM,MM,1014.9,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,10,40,70,7.0,9.0,MM,MM,MM,MM,1014.8,29.6,MM,MM,MM,MM,MM,41052
2021,09,11,10,30,70,7.0,9.0,MM,MM,MM,MM,1014.7,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,10,20,70,7.0,9.0,MM,MM,MM,MM,1014.6,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,10,10,80,7.0,9.0,1.0,MM,MM,95,1014.6,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,10,00,80,7.0,9.0,1.0,6,MM,95,1014.6,29.7,29.5,MM,MM,+0.5,MM,41052
2021,09,11,09,50,70,8.0,9.0,MM,MM,MM,MM,1014.4,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,09,40,80,8.0,9.0,MM,MM,MM,MM,1014.4,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,09,30,80,8.0,9.0,MM,MM,MM,MM,1014.4,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,09,20,70,8.0,9.0,MM,MM,MM,MM,1014.4,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,09,10,80,7.0,9.0,1.0,MM,MM,99,1014.5,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,09,00,70,7.0,9.0,1.0,5,MM,99,1014.5,29.6,29.5,MM,MM,-0.0,MM,41052
2021,09,11,08,50,50,6.0,8.0,MM,MM,MM,MM,1014.6,29.4,MM,MM,MM,MM,MM,41052
2021,09,11,08,40,60,6.0,8.0,MM,MM,MM,MM,1014.6,29.4,MM,MM,MM,MM,MM,41052
2021,09,11,08,30,60,6.0,7.0,MM,MM,MM,MM,1014.5,29.5,MM,MM,MM,MM,MM,41052
2021,09,11,08,20,70,7.0,9.0,MM,MM,MM,MM,1014.4,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,08,10,80,8.0,9.0,0.9,MM,MM,99,1014.2,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,08,00,80,8.0,9.0,0.9,5,MM,99,1014.2,29.8,29.5,MM,MM,-0.6,MM,41052
2021,09,11,07,50,80,7.0,9.0,MM,MM,MM,MM,1014.2,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,07,40,80,7.0,9.0,MM,MM,MM,MM,1014.0,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,07,30,90,7.0,8.0,MM,MM,MM,MM,1014.2,29.5,MM,MM,MM,MM,MM,41052
2021,09,11,07,20,100,7.0,8.0,MM,MM,MM,MM,1014.2,29.4,MM,MM,MM,MM,MM,41052
2021,09,11,07,10,100,7.0,8.0,1.0,MM,MM,102,1014.2,29.2,MM,MM,MM,MM,MM,41052
2021,09,11,07,00,90,7.0,10.0,1.0,5,MM,102,1014.1,29.4,29.5,MM,MM,-1.0,MM,41052
2021,09,11,06,50,80,7.0,9.0,MM,MM,MM,MM,1014.1,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,06,40,80,7.0,8.0,MM,MM,MM,MM,1014.0,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,06,30,80,8.0,9.0,MM,MM,MM,MM,1014.0,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,06,20,70,8.0,9.0,MM,MM,MM,MM,1014.2,29.7,MM,MM,MM,MM,MM,41052
2021,09,11,06,10,80,8.0,10.0,0.9,MM,MM,106,1014.2,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,06,00,70,8.0,10.0,0.9,5,MM,106,1014.3,29.8,29.5,MM,MM,-0.9,MM,41052
2021,09,11,05,50,70,7.0,9.0,MM,MM,MM,MM,1014.5,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,05,40,80,7.0,9.0,MM,MM,MM,MM,1014.6,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,05,30,80,7.0,9.0,MM,MM,MM,MM,1014.7,29.6,MM,MM,MM,MM,MM,41052
2021,09,11,05,20,80,7.0,8.0,MM,MM,MM,MM,1014.7,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,05,10,80,7.0,9.0,0.9,MM,MM,105,1014.8,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,05,00,70,8.0,9.0,0.9,5,MM,105,1014.8,29.8,29.5,MM,MM,-0.3,MM,41052
2021,09,11,04,50,80,7.0,9.0,MM,MM,MM,MM,1014.9,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,04,40,80,7.0,9.0,MM,MM,MM,MM,1014.9,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,04,30,80,7.0,9.0,MM,MM,MM,MM,1015.0,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,04,20,80,8.0,9.0,MM,MM,MM,MM,1015.1,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,04,10,80,7.0,9.0,0.9,MM,MM,106,1015.1,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,04,00,80,7.0,9.0,0.9,5,MM,106,1015.1,29.9,29.5,MM,MM,+0.0,MM,41052
2021,09,11,03,50,80,7.0,9.0,MM,MM,MM,MM,1015.0,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,03,40,70,8.0,10.0,MM,MM,MM,MM,1015.1,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,03,30,70,7.0,8.0,MM,MM,MM,MM,1015.2,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,03,20,80,7.0,8.0,MM,MM,MM,MM,1015.3,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,03,10,70,7.0,9.0,1.0,MM,MM,104,1015.2,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,03,00,80,7.0,8.0,1.0,4,MM,104,1015.2,29.8,29.5,MM,MM,+0.6,MM,41052
2021,09,11,02,50,80,7.0,9.0,MM,MM,MM,MM,1015.3,29.9,MM,MM,MM,MM,MM,41052
2021,09,11,02,40,80,7.0,9.0,MM,MM,MM,MM,1015.3,29.8,MM,MM,MM,MM,MM,41052
2021,09,11,02,30,80,7.0,9.0,MM,MM,MM,MM,1015.2,29.8,MM,MM,MM,MM,MM,41052
